Alabama,AL,1819,Montgomery,1846,155.4,2,205764,374536,Birmingham is the state's largest city,"Montgomery city, Alabama",Err:504
Alaska,AK,1959,Juneau,1906,2716.7,3,31275,,Juneau is the largest capital by land area. Anchorage is the state's largest city.,"Juneau city, Alaska",
Arizona,AZ,1912,Phoenix,1889,474.9,1,1445632,4192887,Phoenix is the most populous U.S. state capital and only capital with more than 1 million citizens,"Phoenix city, Arizona",
Arkansas,AR,1836,Little Rock,1821,116.2,1,193524,877091,,"Little Rock city, Arkansas",
California,CA,1850,Sacramento,1854,97.2,6,466488,2527123,The Supreme Court of California is headquartered in San Francisco. Los Angeles is the state's largest city.,"Sacramento city, California",
Colorado,CO,1876,Denver,1867,153.4,1,600158,2552195,Denver was called Denver City until 1882.,"Denver city, Colorado",
Connecticut,CT,1788,Hartford,1875,17.3,3,124512,1212381,"Bridgeport is the state's largest city, but Hartford is the largest metro area.","Hartford city, Connecticut",
Delaware,DE,1787,Dover,1777,22.4,2,36047,162310,Longest-serving capital in terms of statehood. Wilmington is the state's largest city.,"Dover city, Delaware",
Florida,FL,1845,Tallahassee,1824,95.7,7,181412,367413,"Jacksonville is the largest city, and Miami has the largest metro area.","Tallahassee city, Florida",
Georgia,GA,1788,Atlanta,1868,131.7,1,420003,5268860,Atlanta is the state capital with the most populous metro area in the U.S.,"Atlanta city, Georgia",
Hawaii,HI,1959,Honolulu,1845,85.7,1,337256,953207,,"Honolulu city, Hawaii",
Idaho,ID,1890,Boise,1865,63.8,1,205671,616561,,"Boise city, Idaho",
Illinois,IL,1818,Springfield,1837,54,6,116250,208182,Chicago is the state's largest city.,"Springfield city, Illinois",
Indiana,IN,1816,Indianapolis,1825,361.5,1,829718,1756221,Indianapolis is the second largest city in the Midwest.,"Indianapolis city, Indiana",
Iowa,IA,1846,Des Moines,1857,75.8,1,203433,580255,,"Des Moines city, Iowa",
Kansas,KS,1861,Topeka,1856,56,4,127473,230824,Wichita is the state's largest city.,"Topeka city, Kansas",
Kentucky,KY,1792,Frankfort,1792,14.7,14,25527,70758,Louisville is the state's largest city.,"Frankfort city, Kentucky",
Louisiana,LA,1812,Baton Rouge,1880,76.8,2,229553,802484,New Orleans is the state's largest city and home to the Louisiana Supreme Court. Louisiana is home to the tallest state capitol building.,"Baton Rouge city, Louisiana",
Maine,ME,1820,Augusta,1832,55.4,8,19136,117114,"Augusta was officially made the capital 1827, but the legislature did not sit there until 1832. Portland is the state's largest city.","Augusta city, Maine",
Maryland,MD,1788,Annapolis,1694,6.73,7,38394,,Annapolis is the third-longest serving capital in the United States after Santa Fe and Boston. Its capitol building is the oldest still in use. It is also the smallest capital by land area. Baltimore is the state's largest city.,"Annapolis city, Maryland",
Massachusetts,MA,1788,Boston,1630,48.4,1,617594,4522858,"Boston is the longest continuously serving capital in the United States. The Boston-Worcester-Manchester Combined Statistical Area encompasses the state capitals of Massachusetts, New Hampshire, and Rhode Island.","Boston city, Massachusetts",
Michigan,MI,1837,Lansing,1847,35,5,114297,464036,Lansing is the only state capital that is not also the county seat of the county in which it is situated.[citation needed] Detroit is the state's largest city.,"Lansing city, Michigan",
Minnesota,MN,1858,Saint Paul,1849,52.8,2,285068,3502891,Minneapolis is the state's largest city; it and Saint Paul form the core of the state's largest metropolitan area.,"Saint Paul city, Minnesota",
Mississippi,MS,1817,Jackson,1821,104.9,1,173514,539057,,"Jackson city, Mississippi",
Missouri,MO,1821,Jefferson City,1826,27.3,15,43079,149807,"Kansas City is the state's largest city, and Greater St. Louis is the state's largest metropolitan area.","Jefferson City city, Missouri",
Montana,MT,1889,Helena,1875,14,6,28190,74801,Billings is the state's largest city.,"Helena city, Montana",
Nebraska,NE,1867,Lincoln,1867,74.6,2,258379,302157,Omaha is the state's largest city.,"Lincoln city, Nebraska",
Nevada,NV,1864,Carson City,1861,143.4,6,55274,,Las Vegas is the state's largest city.,"Carson City city, Nevada",
New Hampshire,NH,1788,Concord,1808,64.3,3,42695,,Manchester is the state's largest city.,"Concord city, New Hampshire",
New Jersey,NJ,1787,Trenton,1784,7.66,10,84913,366513,Newark is the state's largest city. Trenton served as the US capital for a short period in the late 18th century.,"Trenton city, New Jersey",
New Mexico,NM,1912,Santa Fe,1610,37.3,4,75764,183732,Santa Fe is the longest serving capital in the United States. El Paso del Norte served as the capital of the Santa Fe de Nuevo México colony-in-exile during the Pueblo Revolt of 1680–1692. Santa Fe has the highest elevation of any state capital. Albuquerque is the state's largest city.,"Santa Fe city, New Mexico",
New York,NY,1788,Albany,1797,21.4,6,97856,857592,New York City is the state's largest city.,"Albany city, New York",
North Carolina,NC,1789,Raleigh,1792,114.6,2,403892,1130490,Charlotte is the state's largest city.,"Raleigh city, North Carolina",
North Dakota,ND,1889,Bismarck,1883,26.9,2,61272,108779,Fargo is the state's largest city.,"Bismarck city, North Dakota",
Ohio,OH,1803,Columbus,1816,210.3,1,787033,1967066,"Columbus is Ohio's largest city, and the fourth-largest state capital; however, the Cincinnati and Cleveland metropolitan areas are both slightly larger.","Columbus city, Ohio",
Oklahoma,OK,1907,Oklahoma City,1910,607,1,580000,1252987,Oklahoma City is the shortest serving current state capital in the United States.,"Oklahoma City city, Oklahoma",
Oregon,OR,1859,Salem,1855,45.7,3,154637,390738,Portland is the state's largest city.,"Salem city, Oregon",
Pennsylvania,PA,1787,Harrisburg,1812,8.11,9,49528,647390,Philadelphia is the state's largest city.,"Harrisburg city, Pennsylvania",
Rhode Island,RI,1790,Providence,1900,18.5,1,178042,1630956,"Providence also served as the capital 1636–1686 and 1689–1776. It was one of five co-capitals 1776–1853, and one of two co-capitals 1853–1900.","Providence city, Rhode Island",
South Carolina,SC,1788,Columbia,1786,125.2,1,131686,913797,Columbia is the largest city in South Carolina but second largest metro area and combined statistical area behind Greenville.,"Columbia city, South Carolina",
South Dakota,SD,1889,Pierre,1889,13,8,13646,,Sioux Falls is the state's largest city.,"Pierre city, South Dakota",
Tennessee,TN,1796,Nashville,1826,473.3,2,635710,1582264,"Memphis is the state's largest city, and Nashville is the largest metro area.","Nashville city, Tennessee",
Texas,TX,1845,Austin,1839,251.5,4,790390,1716291,"Houston is the state's largest city and the previous capital, and Dallas–Fort Worth is the largest metro area. Austin is the largest state capital that is not also the state's largest city. Texas would have the tallest state capitol building if all of the underground work were above ground.","Austin city, Texas",
Utah,UT,1896,Salt Lake City,1858,109.1,1,186440,1124197,,"Salt Lake City city, Utah",
Vermont,VT,1791,Montpelier,1805,10.2,5,7855,,Montpelier is the least populous U.S. state capital. Burlington is the state's largest city.,"Montpelier city, Vermont",
Virginia,VA,1788,Richmond,1780,60.1,4,204214,1231675,"Virginia Beach is the state's largest city, and Northern Virginia is the state's largest metro area.","Richmond city, Virginia",
Washington,WA,1889,Olympia,1853,16.7,22,46478,234670,Seattle is the state's largest city.,"Olympia city, Washington",
West Virginia,WV,1863,Charleston,1885,31.6,1,51400,304214,,"Charleston city, West Virginia",
Wisconsin,WI,1848,Madison,1838,68.7,2,233209,561505,Milwaukee is the state's largest city.,"Madison city, Wisconsin",
Wyoming,WY,1890,Cheyenne,1869,21.1,1,59466,91738,,"Cheyenne city, Wyoming",
